INFORME SOBRE LAS PISTAS DEL SISTEMA AEROPORTUARIO
Code;Gate;Status
1;D5;ACTIVE
2;F4;ACTIVE
3;I4;INACTIVE
4;B8;ACTIVE
5;H5;ACTIVE
6;K6;ACTIVE
7;D3;ACTIVE
8;J5;ACTIVE
9;C7;ACTIVE
10;D4;ACTIVE
11;I8;ACTIVE
12;D4;ACTIVE
13;C3;ACTIVE
14;F8;ACTIVE
15;C5;ACTIVE
16;H5;ACTIVE
17;F10;ACTIVE
18;I9;ACTIVE
19;J2;ACTIVE
20;A8;ACTIVE
21;K8;ACTIVE
22;A3;ACTIVE
23;D1;ACTIVE
24;E9;ACTIVE
25;B1;ACTIVE
26;J1;ACTIVE
27;K5;ACTIVE
28;B8;ACTIVE
29;D3;ACTIVE
30;J9;ACTIVE
31;F10;ACTIVE
32;I8;ACTIVE
33;B9;ACTIVE
34;E7;ACTIVE
35;I9;ACTIVE
36;K3;ACTIVE
37;A1;ACTIVE
38;F6;ACTIVE
39;A7;ACTIVE
40;D8;ACTIVE
41;B10;ACTIVE
42;I7;ACTIVE
43;J1;ACTIVE
44;F10;ACTIVE
45;I4;ACTIVE
46;F4;ACTIVE
47;A3;ACTIVE
